kecamatan.,,,,,,
,Jumlah Penduduk Menurut Kewarganegaraan dan Jenis Kelamin per Kecamatan (Jiwa),,,,,
,Warga Negara Indonesia,,,Orang Asing Tetap,,
,2024,,,2024,,
,L,P,Total,L,P,Total
Karangpilang,37291,38212,75503,5,1,6
Jambangan,26828,27384,54212,3,-,3
Gayungan,21399,22447,43846,8,2,10
Wonocolo,39485,40549,80034,9,5,14
Tenggilis Mejoyo,28982,29950,58932,14,6,20
Gunung Anyar,30785,31557,62342,8,4,12
Rungkut,61032,62621,123653,11,10,21
Sukolilo,57097,58816,115913,33,16,49
Mulyorejo,43266,44948,88214,25,20,45
Gubeng,64656,67726,132382,13,9,22
Wonokromo,75291,78272,153563,10,4,14
Dukuh Pakis,29349,29996,59345,55,43,98
Wiyung,38047,38454,76501,66,38,104
Lakarsantri,32427,32586,65013,65,40,105
Sambikerep,34299,34777,69076,78,46,124
Tandes,45099,46685,91784,10,4,14
Sukomanunggal,51739,52427,104166,43,20,63
Sawahan,98074,100442,198516,13,8,21
Tegalsari,48025,49486,97511,16,11,27
Genteng,28516,29700,58216,7,9,16
Tambaksari,112303,114722,227025,16,5,21
Kenjeran,93195,92099,185294,2,1,3
Bulak,23797,24042,47839,-,-,0
Simokerto,45759,46298,92057,4,6,10
Semampir,91826,91469,183295,8,2,10
Pabean Cantian,36682,37249,73931,4,1,5
Bubutan,47922,48782,96704,11,7,18
Krembangan,57094,57772,114866,11,4,15
Asemrowo,24636,24205,48841,4,1,5
Benowo,37456,37477,74933,3,1,4
Pakal,32377,32138,64515,5,1,6
Kota Surabaya,1494734,1523288,3018022,560,325,885
